"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 28 13:46:38 UTC 2026","Sun Jun 28 13:46:39 UTC 2026","205","testcases","test_keyword_driven","TestMemberKeywords","","","test_create_tag","创建新标签"
"passed","Sun Jun 28 13:46:15 UTC 2026","Sun Jun 28 13:46:15 UTC 2026","215","testcases","test_cash","TestCart","","","test_add_to_cart_zero_num","边界：加购数量为0"
"passed","Sun Jun 28 13:47:41 UTC 2026","Sun Jun 28 13:47:42 UTC 2026","1177","testcases","test_member","TestMemberCRUD","","","test_create_and_query_member","集成：创建会员 → 搜索验证 → 查询详情"
"passed","Sun Jun 28 13:46:35 UTC 2026","Sun Jun 28 13:46:36 UTC 2026","230","testcases","test_keyword_driven","TestMemberKeywords","","","test_search_member","按关键词搜索会员"
"passed","Sun Jun 28 13:50:05 UTC 2026","Sun Jun 28 13:50:06 UTC 2026","217","testcases.unit","test_auth_api","TestUserInfo","","","test_get_staff_list","正常：门店员工列表"
"passed","Sun Jun 28 13:47:27 UTC 2026","Sun Jun 28 13:47:27 UTC 2026","212","testcases","test_member","TestMemberDetail","","","test_get_member_by_id_not_exist","异常：不存在的会员 ID"
"passed","Sun Jun 28 13:49:25 UTC 2026","Sun Jun 28 13:49:26 UTC 2026","636","testcases","test_product","TestProductCRUD","","","test_supplier_save_and_list","集成：新建供应商 → 验证供应商列表 → 删除供应商"
"passed","Sun Jun 28 13:47:26 UTC 2026","Sun Jun 28 13:47:26 UTC 2026","416","testcases","test_member","TestMemberList","","","test_member_list_filter_rfm[\u4e00\u822c\u633d\u7559\u5ba2\u6237]","正常：按 RFM 等级筛选"
"passed","Sun Jun 28 13:49:14 UTC 2026","Sun Jun 28 13:49:20 UTC 2026","5900","testcases","test_product","TestBatchDelete","","","test_batch_delete_success","正常：创建商品 → 批量删除"
"passed","Sun Jun 28 13:46:51 UTC 2026","Sun Jun 28 13:46:52 UTC 2026","1439","testcases","test_keyword_driven","TestProductKeywordsIntegration","","","test_create_and_stock_product","
        创建商品并入库 - 替代 30+ 行代码。

        传统写法:
            resp = product_api.add_sku(data)
            assert resp.json()[""error""] == 0
            product_id = resp.json()[""data""][""product_id""]
            time.sleep(0.5)
            resp = product_api.update_stocks(shop_id, product_id, 10, ""mark"")
            assert resp.json()[""error""] == 0
            # ... 清理代码

        关键字写法:
        "
"passed","Sun Jun 28 13:47:15 UTC 2026","Sun Jun 28 13:47:15 UTC 2026","213","testcases","test_member","TestMemberList","","","test_search_member_special_keywords[\u4e0d\u5b58\u5728\u4f1a\u5458]","安全/边界：特殊字符搜索"
"passed","Sun Jun 28 13:46:07 UTC 2026","Sun Jun 28 13:46:07 UTC 2026","214","testcases","test_cash","TestCashCategory","","","test_cash_list_pagination[page=9999\u8d85\u5c3e\u9875]","边界：分页参数"
"passed","Sun Jun 28 13:48:09 UTC 2026","Sun Jun 28 13:48:14 UTC 2026","5649","testcases","test_product","TestCreateProduct","","","test_create_product_negative_price","异常：负数价格"
"passed","Sun Jun 28 13:47:14 UTC 2026","Sun Jun 28 13:47:14 UTC 2026","428","testcases","test_member","TestMemberList","","","test_search_member_special_keywords[SQL\u6ce8\u5165]","安全/边界：特殊字符搜索"
"passed","Sun Jun 28 13:47:33 UTC 2026","Sun Jun 28 13:47:33 UTC 2026","201","testcases","test_member","TestShopCards","","","test_get_shop_once_cards_success","正常：获取店铺次卡列表"
